Month,Day,Week Num,Week Day,Position,Short Description,Long Description,
1,1,,,,New Year's,Happy New Year!,
1,,,Monday,3,MLK Day,Martin Luther King Day,
2,,,Monday,3,Presidents' Day,,
2,29,,,,Leap Day,,
4,22,,,,Earth Day,,
5,,,Sunday,2,Mother's Day,,
5,,,Monday,-1,Memorial Day,,
6,,,Sunday,3,Father's Day,,
7,4,,,,Independence Day,,
9,,,Monday,1,Labor Day,,
11,,,Thursday,4,Thanksgiving,,
12,25,,,,Christmas,,

1,7,,,,Example 1,Example Range 1,
1,8,,,,,Example Range 1,
1,8,,,,Example 2,Example Range 2,
1,9,,,,,,
1,9,,,,,Example Range 2,
